Naziv;Kolicina;Cena stavke
PP spojka fi 63;1;3456
Pocinkovano koleno fi 2;2;416.8
Pocinkovana cev fi 2;1;1200
Pocinkovani dupli nipl fi 2;2;270.9
Kugla ventil fi 2;2;2715
Pocinkovana cev fi 2;1;1200
Pocinkovani dupli nipl fi 2;3;270.9
Pocinkovano koleno fi 2;1;416.8
Pocinkovani holender fi 2;1;827.3
PVC cev fi 160/2000;2;1710
PVC cev fi 160/1000;1;879.43
PVC kosa  račva-T fi 160/160;0;1365.96
PVC luk fi 160/45;2;760.3
PVC revizija fi 160;1;1629
PVC klizna spojka fi 160;1;489.36
Prelazna guma fi 160;4;180
Sikafleks;1;961.54
LG prelaz fi 160;2;2220
Prelazna guma fi 75;1;101
Prelazna guma fi 110;2;113
PVC luk fi 110/45;3;191.81
PVC luk fi 110/90;1;191.81
PVC revizija fi 110;1;329.03
PVC redukcija fi 110/75;1;114.9
PVC cev fi 110/250;2;133.87
PVC cev fi 110/2000;1;790.36
PVC klizna spojka fi 110;1;281.89
LG prelaz fi 75;1;730
LG prelaz fi 110;1;1485
Klizna spojnica fi 6/4;1;2650
Pocinkovana cev fi 6/4;1;1094
Pocinkovani T-komad fi 1;1;168.7
Klizna spojnica fi 1;1;964
Pocinkovani dupli nipl fi 1;2;83.4
Pocinkovana redukcija 1-3/4;1;73.7
Pocinkovana redukcija 1-1/2;1;81.4
Pocinkovani dupli nipl fi 3/4;2;58.6
Pocinkovani dupli nipl fi 1/2;4;44.6
Pocinkovano koleno fi 1/2;2;52.4
Pocinkovani T-komad fi 1;1;168.7
Klizna spojnica fi 1;1;964
Pocinkovani dupli nipl fi 1;2;83.4
Pocinkovana redukcija 1-3/4;1;73.7
Pocinkovana redukcija 1-1/2;1;81.4
Pocinkovani dupli nipl fi 3/4;2;58.6
Pocinkovani dupli nipl fi 1/2;4;44.6
Pocinkovano koleno fi 1/2;2;52.4
Pocinkovana cev fi 5/4;0.6;907
Pocinkovani dupli nipl fi 5/4;2;120.2
Kugla ventil fi 5/4;1;1488.8
Klizna spojnica fi 5/4;1;1588
Pocinkovani holender fi 5/4;1;405.1
Pocinkovana cev fi 6/4;2;1094
Pocinkovani dupli nipl fi 6/4;2;184.2
Kugla ventil fi 6/4;1;2212.3
Pocinkovani holender fi 6/4;1;536.9
Pocinkovana cev fi 2 1/2;9;1335
Klizna spojnica fi 2 1/2;2;4402
Pocinkovani dupli nipl fi 2 1/2;2;452.2
Pocinkovana cev fi 5/4;4;907
Klizna spojnica fi 5/4;2;1588
Pocinkovani dupli nipl fi 5/4;1;120.2
Kudelja - 100 gr;2;145
Kugla ventil fi 2 1/2;2;6132
Pocinkovani T-komad fi 2 1/2;2;1112.7
Pocinkovana redukcija 2 1/2-1;1;375.4
Pocinkovana redukcija 1-3/4;1;73.7
Kugla ventil fi 3/4;1;571.8
Pocinkovani dupli nipl fi 3/4;2;58.6
Pocinkovano koleno fi 3/4;2;77.6
Pocinkovana redukcija 3/4-1/2 ;0;50.4
Pocinkovani muf fi 2 1/2;1;521
Pocinkovana cev fi 3/4;2;465
Pocinkovani holender fi 2;1;827.3
Hidrantski ventil fi 2;1;1
Pocinkovana redukcija 2 1/2-5/4;1;375.4
PVC cev fi 110/2000;3;790.36
PVC cev fi 110/1000;3;395.28
PVC cev fi 110/500;2;225.99
PVC cev fi 110/250;2;133.87
LG prelaz fi 110;0;1485
Prelazna guma fi 110;1;113
PVC luk fi 110/45;11;191.81
PVC luk fi 110/90;1;191.81
Rezna ploča 125 mm;3;123.2
Pocinkovana cev fi 5/4;0.5;907
Pocinkovani dupli nipl fi 5/4;2;120.2
Klizna spojnica fi 5/4;1;1588
Pocinkovani holender fi 5/4;1;405.1
Pocinkovana cev fi 6/4;2;1094
Pocinkovani dupli nipl fi 6/4;2;184.2
Kugla ventil fi 6/4;1;2212.3
Pocinkovani holender fi 6/4;1;536.9
Kugla ventil fi 1;1;918.8
Pocinkovano koleno fi 1;2;129.9
Pocinkovana cev fi 1;3;619
Pocinkovani dupli nipl fi 1;3;83.4
Pocinkovani muf fi 1;1;102.8
Klizna spojnica fi 1;1;964
Pocinkovani holender fi 1;1;261.7
Pocinkovana cev fi 1;2.6;619
Pocinkovani dupli nipl fi 1;1;83.4
Pocinkovani holender fi 1;1;261.7
PVC klizna spojka fi 110;1;281.89
Pocinkovana cev fi 6/4;6;1094
Kugla ventil fi 6/4;1;2212.3
Pocinkovani dupli nipl fi 6/4;1;184.2
Pocinkovani muf fi 6/4;2;178.3
Klizna spojnica fi 6/4;1;2650
Virbla za propusni ventil fi 6/4;1;2134
LG prelaz fi 110;1;1485
HL prelaz fi 110;1;3979
Prelazna guma fi 110;1;113
PVC klizna spojka fi 110;1;281.89
PVC cev fi 110/2000;1;790.36
PVC cev fi 110/500;2;225.99
PVC cev fi 110/250;2;133.87
Sikafleks;1;961.54
PVC redukcija fi 200/160;1;896.87
PVC luk fi 160/45;1;760.3
PVC luk fi 160/90;1;760.33
PVC cev fi 160/250;2;317.27
Pocinkovana cev fi 2;4;1200
Pocinkovano koleno fi 2;3;416.8
Pocinkovani holender fi 2;1;827.3
Klizna spojnica fi 2;1;3716
Pocinkovani dupli nipl fi 2;2;270.9
Pocinkovani muf fi 2;2;295.9
Virbla za propusni ventil fi 1/2;1;374
LG prelaz fi 110;1;1485
HL prelaz fi 110;1;3979
Prelazna guma fi 110;1;113
PVC cev fi 110/2000;1;790.36
PVC cev fi 110/500;2;225.99
PVC klizna spojka fi 110;1;281.89
Sikafleks;1;961.54
PVC cev fi 110/1000;1;395.28
LG prelaz fi 110;1;1485
PVC klizna spojka fi 110;1;281.89
Prelazna guma fi 110;2;113
HL prelaz fi 110;1;3979
PVC luk fi 110/45;2;191.81
PVC luk fi 110/90;1;191.81
Virbla za propusni ventil fi 5/4;6;1411
Kugla ventil fi 5/4;1;1488.8
Klizna spojnica fi 5/4;1;1588
Pocinkovani dupli nipl fi 5/4;2;120.2
Kugla ventil fi 6/4;1;2212.3
Klizna spojnica fi 6/4;1;2650
Pocinkovani dupli nipl fi 6/4;1;184.2
PVC cev fi 110/1000;1;395.28
PVC cev fi 110/500;1;225.99
LG prelaz fi 110;1;1485
HL prelaz fi 110;1;3979
PVC klizna spojka fi 110;1;281.89
Prelazna guma fi 110;2;113
Sikafleks;1;961.54
Rezna ploča 125 mm;6;123.2
PVC revizija fi 110;1;329.03
PVC luk fi 110/45;1;191.81
PVC cev fi 110/250;1;133.87
PVC cev fi 110/2000;1;790.36
PVC cev fi 110/1000;1;395.28
Prelazna guma fi 110;2;113
PVC klizna spojka fi 110;1;281.89
LG prelaz fi 110;1;1485
Klizna spojnica fi 6/4;2;2650
Klizna spojnica fi 1;2;964
Pocinkovani dupli nipl fi 6/4;4;184.2
Pocinkovani dupli nipl fi 1;4;83.4
Pocinkovani muf fi 6/4;4;178.3
Pocinkovana cev fi 6/4;2;1094
Pocinkovana cev fi 1;2;619
Kugla ventil fi 6/4;0;2212.3
Kugla ventil fi 1;2;918.8
Klizna spojnica fi 2 1/2;1;4402
Pocinkovana cev fi 2 1/2;1.5;1335
PVC cev fi 110/2000;1;790.36
PVC cev fi 110/500;2;225.99
Prelazna guma fi 110;2;113
LG prelaz fi 110;1;1485
PVC klizna spojka fi 110;1;281.89
PVC cev fi 75/2000;1;621.87
PVC cev fi 75/1000;1;310.85
HL prelaz fi 75;1;3152
