 59 ; 80.01.02.011 ;" Demontaža  pocinkovanog kolena 1"" "; kom ;0,00;578,00;200;0,00; 328553 ;578,00;433,5;346,8;317,90;Zamena
 60 ; 80.01.02.012 ;" Demontaža  pocinkovanog kolena 5/4"" "; kom ;0,00;578,00;100;0,00; 328554 ;578,00;433,5;346,8;317,90;Zamena
 61 ; 80.01.02.013 ;" Demontaža  pocinkovanog kolena 6/4"" "; kom ;0,00;716,00;100;0,00; 328555 ;716,00;537;429,6;393,80;Zamena
 62 ; 80.01.02.014 ;" Demontaža  pocinkovanog kolena 2"" "; kom ;0,00;910,00;100;0,00; 328556 ;910,00;682,5;546;500,50;Zamena
 63 ; 80.01.02.015 ;" Demontaža  pocinkovanog kolena 2 1/2"" "; kom ;0,00;1.306,00;60;0,00; 328557 ;1.306,00;979,5;783,6;718,30;Zamena
 64 ; 80.01.02.016 ;" Demontaža  pocinkovanog kolena 3"" "; kom ;0,00;1.527,00;40;0,00; 328558 ;1.527,00;1145,25;916,2;839,85;Zamena
 65 ; 80.01.02.017 ;" Nabavka i ugradnja pocinkovanog kolena 1/2"" "; kom ;0,00;1.134,00;400;0,00; 328559 ;647,00;485,25;680,4;623,70;Zamena
 66 ; 80.01.02.018 ;" Nabavka i ugradnja pocinkovanog kolena 3/4"" "; kom ;0,00;1.165,00;300;0,00; 328560 ;673,00;504,75;699;640,75;Zamena
 67 ; 80.01.02.019 ;" Nabavka i ugradnja pocinkovanog kolena 1"" "; kom ;0,00;1.412,00;200;0,00; 328561 ;758,00;568,5;847,2;776,60;Zamena
 68 ; 80.01.02.020 ;" Nabavka i ugradnja pocinkovanog kolena 5/4"" "; kom ;0,00;1.495,00;100;0,00; 328562 ;1.048,00;786;897;822,25;Zamena
 69 ; 80.01.02.021 ;" Nabavka i ugradnja pocinkovanog kolena 6/4"" "; kom ;0,00;1.833,00;100;0,00; 328563 ;1.158,00;868,5;1099,8;1.008,15;Zamena
 70 ; 80.01.02.022 ;" Nabavka i ugradnja pocinkovanog kolena 2"" "; kom ;0,00;2.366,00;100;0,00; 328564 ;1.261,00;945,75;1419,6;1.301,30;Zamena
 71 ; 80.01.02.023 ;" Nabavka i ugradnja pocinkovanog kolena 2 1/2"" "; kom ;0,00;3.474,00;60;0,00; 328565 ;2.164,00;1623;2084,4;1.910,70;Zamena
 72 ; 80.01.02.024 ;" Nabavka i ugradnja pocinkovanog kolena 3"" "; kom ;0,00;4.319,00;20;0,00; 328566 ;2.488,00;1866;2591,4;2.375,45;Zamena
 73 ; 80.01.02.028 ;" Zamena pocinkovanog teštika 1/2"" "; kom ;0,00;1.634,00;400;0,00; 328567 ;1.634,00;1225,5;980,4;898,70;Zamena
 74 ; 80.01.02.029 ;" Zamena pocinkovanog kolena 3/4"" "; kom ;0,00;1.667,00;300;0,00; 328568 ;1.667,00;1250,25;1000,2;916,85;Zamena
 75 ; 80.01.02.030 ;" Zamena pocinkovanog kolena 1"" "; kom ;0,00;2.033,00;200;0,00; 328569 ;2.033,00;1524,75;1219,8;1.118,15;Zamena
 76 ; 80.01.02.031 ;" Zamena pocinkovanog kolena 5/4"" "; kom ;0,00;2.127,00;100;0,00; 328634 ;2.127,00;1595,25;1276,2;1.169,85;Zamena
 77 ; 80.01.02.032 ;" Zamena pocinkovanog kolena 6/4"" "; kom ;0,00;2.626,00;100;0,00; 328635 ;2.626,00;1969,5;1575,6;1.444,30;Zamena
 78 ; 80.01.02.033 ;" Zamena pocinkovanog kolena 2"" "; kom ;0,00;3.381,00;100;0,00; 328636 ;3.381,00;2535,75;2028,6;1.859,55;Zamena
