Broj Fakture;Datum PDV;Iznos/Osnovica;Penal;PDV;Iznos sa penalom i PDV;PG Iznos/Osnovica;PG PDV;PG Penal;PG Iznos sa PDVom;Vrsta Naloga
GS-1547/2026;05.02.2026;46500.00;0.00;9300.00;55800.00;31387.50;6277.50;0.00;37665.00;NEODLOZNO
GS-1567/2026;05.02.2026;16220.00;0.00;3244.00;19464.00;10948.50;2189.70;0.00;13138.20;NEODLOZNO
GS-1554/2026;05.02.2026;20440.00;0.00;4088.00;24528.00;13797.00;2759.40;0.00;16556.40;NEODLOZNO
GS-1516/2026;05.02.2026;14220.00;0.00;2844.00;17064.00;9598.50;1919.70;0.00;11518.20;NEODLOZNO
GS-1611/2026;05.02.2026;17500.00;0.00;3500.00;21000.00;11812.50;2362.50;0.00;14175.00;NEODLOZNO
GS-1587/2026;05.02.2026;27900.00;0.00;5580.00;33480.00;18832.50;3766.50;0.00;22599.00;NEODLOZNO
GS-1544/2026;05.02.2026;30500.00;0.00;6100.00;36600.00;20587.50;4117.50;0.00;24705.00;NEODLOZNO
GS-1568/2026;05.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1609/2026;05.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1644/2026;05.02.2026;11520.00;0.00;2304.00;13824.00;7776.00;1555.20;0.00;9331.20;NEODLOZNO
GS-1588/2026;05.02.2026;34500.00;0.00;6900.00;41400.00;23287.50;4657.50;0.00;27945.00;NEODLOZNO
GS-1549/2026;05.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1645/2026;05.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1615/2026;05.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1566/2026;05.02.2026;5000.00;0.00;1000.00;6000.00;3375.00;675.00;0.00;4050.00;NEODLOZNO
GS-1614/2026;05.02.2026;5000.00;0.00;1000.00;6000.00;3375.00;675.00;0.00;4050.00;NEODLOZNO
GS-1349/2026;04.02.2026;81162.00;0.00;16232.40;97394.40;54784.35;10956.87;0.00;65741.22;TEKUCE
GS-1452/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1464/2026;04.02.2026;24924.30;0.00;4984.86;29909.16;16823.90;3364.78;0.00;20188.68;NEODLOZNO
GS-1419/2026;04.02.2026;20584.40;0.00;4116.88;24701.28;13894.47;2778.89;0.00;16673.36;NEODLOZNO
GS-1415/2026;04.02.2026;2300.00;0.00;460.00;2760.00;1552.50;310.50;0.00;1863.00;NEODLOZNO
GS-1450/2026;04.02.2026;71174.60;0.00;14234.92;85409.52;48042.86;9608.57;0.00;57651.43;NEODLOZNO
GS-1391/2026;04.02.2026;34897.20;0.00;6979.44;41876.64;23555.61;4711.12;0.00;28266.73;NEODLOZNO
GS-1463/2026;04.02.2026;74720.00;0.00;14944.00;89664.00;50436.00;10087.20;0.00;60523.20;TEKUCE
GS-1312/2026;04.02.2026;65681.90;0.00;13136.38;78818.28;44335.28;8867.06;0.00;53202.34;NEODLOZNO
GS-1393/2026;04.02.2026;14377.60;0.00;2875.52;17253.12;9704.88;1940.98;0.00;11645.86;NEODLOZNO
GS-1348/2026;04.02.2026;54981.00;0.00;10996.20;65977.20;37112.18;7422.44;0.00;44534.61;NEODLOZNO
GS-1319/2026;04.02.2026;22859.80;0.00;4571.96;27431.76;15430.36;3086.07;0.00;18516.44;NEODLOZNO
GS-1453/2026;04.02.2026;29554.40;0.00;5910.88;35465.28;19949.22;3989.84;0.00;23939.06;NEODLOZNO
GS-1459/2026;04.02.2026;6900.00;0.00;1380.00;8280.00;4657.50;931.50;0.00;5589.00;NEODLOZNO
GS-1339/2026;04.02.2026;106320.80;0.00;21264.16;127584.96;71766.54;14353.31;0.00;86119.85;NEODLOZNO
GS-1448/2026;04.02.2026;44836.80;0.00;8967.36;53804.16;30264.84;6052.97;0.00;36317.81;NEODLOZNO
GS-1454/2026;04.02.2026;11300.00;0.00;2260.00;13560.00;7627.50;1525.50;0.00;9153.00;NEODLOZNO
GS-1398/2026;04.02.2026;9587.20;0.00;1917.44;11504.64;6471.36;1294.27;0.00;7765.63;NEODLOZNO
GS-1347/2026;04.02.2026;24972.80;0.00;4994.56;29967.36;16856.64;3371.33;0.00;20227.97;NEODLOZNO
GS-1390/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1456/2026;04.02.2026;20084.40;0.00;4016.88;24101.28;13556.97;2711.39;0.00;16268.36;NEODLOZNO
GS-1416/2026;04.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1458/2026;04.02.2026;29500.00;0.00;5900.00;35400.00;19912.50;3982.50;0.00;23895.00;NEODLOZNO
GS-1346/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1396/2026;04.02.2026;7591.00;0.00;1518.20;9109.20;5123.93;1024.79;0.00;6148.71;NEODLOZNO
GS-1335/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1392/2026;04.02.2026;12300.00;0.00;2460.00;14760.00;8302.50;1660.50;0.00;9963.00;NEODLOZNO
GS-1395/2026;04.02.2026;6900.00;0.00;1380.00;8280.00;4657.50;931.50;0.00;5589.00;NEODLOZNO
GS-1322/2026;04.02.2026;11272.80;0.00;2254.56;13527.36;7609.14;1521.83;0.00;9130.97;NEODLOZNO
GS-1336/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1417/2026;04.02.2026;9300.00;0.00;1860.00;11160.00;6277.50;1255.50;0.00;7533.00;NEODLOZNO
GS-1397/2026;04.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1460/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1418/2026;04.02.2026;5000.00;0.00;1000.00;6000.00;3375.00;675.00;0.00;4050.00;NEODLOZNO
GS-1461/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1421/2026;04.02.2026;58300.00;0.00;11660.00;69960.00;39352.50;7870.50;0.00;47223.00;NEODLOZNO
GS-1457/2026;04.02.2026;40854.20;0.00;8170.84;49025.04;27576.58;5515.32;0.00;33091.90;NEODLOZNO
GS-1403/2026;04.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1389/2026;04.02.2026;32861.60;0.00;6572.32;39433.92;22181.58;4436.32;0.00;26617.90;NEODLOZNO
GS-1368/2026;04.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1399/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1337/2026;04.02.2026;32100.00;0.00;6420.00;38520.00;21667.50;4333.50;0.00;26001.00;NEODLOZNO
GS-1315/2026;04.02.2026;17402.80;0.00;3480.56;20883.36;11746.89;2349.38;0.00;14096.27;NEODLOZNO
