Broj naloga;Mesec;Radna Jedinica;Tip;Iznos
1741737;Februar 2024;PALILULA;ZAMENA;21524.00
1741738;Februar 2024;STARI GRAD;SAJLA;9300.00
1741740;Februar 2024;ZVEZDARA;SAJLA;9220.00
1741741;Februar 2024;STARI GRAD;LOKALNO;6900.00
1741742;Februar 2024;ZVEZDARA;ZAMENA;15720.00
1741743;Februar 2024;ZVEZDARA;WOMA;33500.00
1741744;Februar 2024;STARI GRAD;WOMA;49500.00
1741745;Februar 2024;ČUKARICA;WOMA;47540.00
1741746;Februar 2024;ZVEZDARA;WOMA;5000.00
1741747;Februar 2024;ČUKARICA;WOMA;33500.00
1741748;Februar 2024;ČUKARICA;WOMA;25500.00
1741749;Februar 2024;ZVEZDARA;ZAMENA;39108.00
1741750;Februar 2024;ZVEZDARA;LOKALNO;6900.00
1741751;Februar 2024;ZEMUN;LOKALNO;6900.00
1741752;Februar 2024;PALILULA;ZAMENA;34155.00
1741753;Februar 2024;ČUKARICA;ZAMENA;27435.00
1741754;Februar 2024;PALILULA;LOKALNO;2300.00
1741755;Februar 2024;ČUKARICA;ZAMENA;25563.00
1741756;Februar 2024;ZVEZDARA;ZAMENA;71521.00
1741757;Februar 2024;VRAČAR;WOMA;38900.00
1741758;Februar 2024;STARI GRAD;SAJLA;16100.00
1741759;Februar 2024;ZVEZDARA;LOKALNO;6900.00
1741760;Februar 2024;ZVEZDARA;LOKALNO;9200.00
1741761;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741762;Februar 2024;PALILULA;ZAMENA;44191.00
1741763;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741764;Februar 2024;STARI GRAD;LOKALNO;6900.00
1741765;Februar 2024;NOVI BEOGRAD;ZAMENA;139191.00
1741766;Februar 2024;ČUKARICA;LOKALNO;6900.00
1741767;Februar 2024;ČUKARICA;SAJLA;16220.00
1741768;Februar 2024;PALILULA;LOKALNO;6900.00
1741769;Februar 2024;ČUKARICA;WOMA;36500.00
1741770;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741771;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741772;Februar 2024;RAKOVICA;SAJLA;9220.00
1741781;Februar 2024;VOŽDOVAC;SAJLA;11520.00
1741782;Februar 2024;ZVEZDARA;SAJLA;11300.00
1741783;Februar 2024;VOŽDOVAC;SAJLA;19220.00
